token,symbol,name
5054,GRINFRA-EQ,GRINFRA
17395,SETF10GILT-EQ,SETF10GILT
7048,HESTERBIO-EQ,HESTERBIO
3481,THOMASCOOK-EQ,THOMASCOOK
17818,LTIM-EQ,LTIM
11817,MANGALAM-EQ,MANGALAM
22277,WORTH-EQ,WORTH
3715,VLSFINANCE-EQ,VLSFINANCE
6018,ABSLAMC-EQ,ABSLAMC
18883,SJVN-EQ,SJVN
15049,ENERGYDEV-EQ,ENERGYDEV
509,MAZDOCK-EQ,MAZDOCK
25584,TRITURBINE-EQ,TRITURBINE
16859,SINDHUTRAD-EQ,SINDHUTRAD
11265,TVSELECT-EQ,TVSELECT
6951,LINC-EQ,LINC
3761,RITES-EQ,RITES
1491,IFCI-EQ,IFCI
2562,HUHTAMAKI-EQ,HUHTAMAKI
3351,SUNPHARMA-EQ,SUNPHARMA
18284,HNGSNGBEES-EQ,HNGSNGBEES
2645,DRCSYSTEMS-EQ,DRCSYSTEMS
17130,PARAGMILK-EQ,PARAGMILK
12024,ACI-EQ,ACI
13,ABB-EQ,ABB
15244,KAVVERITEL-EQ,KAVVERITEL
993,EVERESTIND-EQ,EVERESTIND
10761,SILVERADD-EQ,SILVERADD
13839,DONEAR-EQ,DONEAR
11566,DCI-EQ,DCI
13236,SADBHAV-EQ,SADBHAV
3375,SURYAROSNI-EQ,SURYAROSNI
18039,ADVENZYMES-EQ,ADVENZYMES
2088,MAHSEAMLES-EQ,MAHSEAMLES
5751,SANSERA-EQ,SANSERA
4668,BANKBARODA-EQ,BANKBARODA
1008,FACT-EQ,FACT
14101,PTL-EQ,PTL
2687,POLYPLEX-EQ,POLYPLEX
17641,SUNTECK-EQ,SUNTECK
11798,ALLSEC-EQ,ALLSEC
3906,CAPLIPOINT-EQ,CAPLIPOINT
16669,BAJAJ-AUTO-EQ,BAJAJ-AUTO
24781,BSLNIFTY-EQ,BSLNIFTY
10568,RAMAPHO-EQ,RAMAPHO
2319,NCC-EQ,NCC
1576,GILLETTE-EQ,GILLETTE
11162,HARSHA-EQ,HARSHA
9385,PNCINFRA-EQ,PNCINFRA
4992,SHARDACROP-EQ,SHARDACROP
14058,SANGHVIMOV-EQ,SANGHVIMOV
4503,MPHASIS-EQ,MPHASIS
3324,SUBROS-EQ,SUBROS
3403,AJOONI-EQ,AJOONI
5258,INDUSINDBK-EQ,INDUSINDBK
14828,WSI-EQ,WSI
21740,CHOLAHLDNG-EQ,CHOLAHLDNG
5957,BSLSENETFG-EQ,BSLSENETFG
22947,EXICOM-EQ,EXICOM
29124,PCJEWELLER-EQ,PCJEWELLER
11647,KOTARISUG-EQ,KOTARISUG
1782,KANPRPLA-EQ,KANPRPLA
21484,STEL-EQ,STEL
10579,MARKSANS-EQ,MARKSANS
15343,SADHNANIQ-EQ,SADHNANIQ
5782,MASPTOP50-EQ,MASPTOP50
19867,AMNPLST-EQ,AMNPLST
3321,SPMLINFRA-EQ,SPMLINFRA
2739,PRSMJOHNSN-EQ,PRSMJOHNSN
2085,MAHSCOOTER-EQ,MAHSCOOTER
11039,DCMNVL-EQ,DCMNVL
6643,SJS-EQ,SJS
4847,KIMS-EQ,KIMS
341,BALRAMCHIN-EQ,BALRAMCHIN
3456,TATAMOTORS-EQ,TATAMOTORS
5475,GRSE-EQ,GRSE
1838,KARURVYSYA-EQ,KARURVYSYA
8050,MAHLIFE-EQ,MAHLIFE
14966,CSBBANK-EQ,CSBBANK
17477,CONTROLPR-EQ,CONTROLPR
16249,INFIBEAM-EQ,INFIBEAM
10755,APTECHT-EQ,APTECHT
14853,OMAXE-EQ,OMAXE
1859,KESORAMIND-EQ,KESORAMIND
19813,HONASA-EQ,HONASA
5313,UGROCAP-EQ,UGROCAP
19025,KIRLOSIND-EQ,KIRLOSIND
14134,PITTIENG-EQ,PITTIENG
17963,NESTLEIND-EQ,NESTLEIND
22901,GOLDCASE-EQ,GOLDCASE
1076,ZENSARTECH-EQ,ZENSARTECH
11399,SALZERELEC-EQ,SALZERELEC
685,CHOLAFIN-EQ,CHOLAFIN
22365,ITIETF-EQ,ITIETF
7200,SHRIRAMPPS-EQ,SHRIRAMPPS
10512,CONS-EQ,CONS
13421,EMKAY-EQ,EMKAY
12173,HNDFDS-EQ,HNDFDS
722,SBIETFPB-EQ,SBIETFPB
9158,BALAJITELE-EQ,BALAJITELE
12101,HDFCNIFIT-EQ,HDFCNIFIT
18292,IVZINGOLD-EQ,IVZINGOLD
20878,MUFTI-EQ,MUFTI
8833,BCG-EQ,BCG
11654,LALPATHLAB-EQ,LALPATHLAB
11549,TEXINFRA-EQ,TEXINFRA
10176,SETFNIF50-EQ,SETFNIF50
6066,ATGL-EQ,ATGL
21406,AVADHSUGAR-EQ,AVADHSUGAR
14230,HDFCBSE500-EQ,HDFCBSE500
22566,BLSE-EQ,BLSE
21828,TEXRAIL-EQ,TEXRAIL
11573,FORCEMOT-EQ,FORCEMOT
19322,HISARMETAL-EQ,HISARMETAL
11821,WELCORP-EQ,WELCORP
19299,ITDC-EQ,ITDC
6286,GULPOLY-EQ,GULPOLY
2997,SANGHIIND-EQ,SANGHIIND
12219,RUSTOMJEE-EQ,RUSTOMJEE
8159,FIBERWEB-EQ,FIBERWEB
30108,ABFRL-EQ,ABFRL
16908,TOUCHWOOD-EQ,TOUCHWOOD
13522,NECCLTD-EQ,NECCLTD
530,BPL-EQ,BPL
3563,ADANIGREEN-EQ,ADANIGREEN
22477,NOVAAGRI-EQ,NOVAAGRI
20825,HUDCO-EQ,HUDCO
2259,MOREPENLAB-EQ,MOREPENLAB
10733,SPORTKING-EQ,SPORTKING
2610,PEARLPOLY-EQ,PEARLPOLY
16819,QNIFTY-EQ,QNIFTY
10925,GODREJIND-EQ,GODREJIND
13890,HIRECT-EQ,HIRECT
14445,NAHARPOLY-EQ,NAHARPOLY
10585,MOM30IETF-EQ,MOM30IETF
742,COSMOFIRST-EQ,COSMOFIRST
17859,REDTAPE-EQ,REDTAPE
10473,POWERMECH-EQ,POWERMECH
13859,VENUSREM-EQ,VENUSREM
14106,AUTOIND-EQ,AUTOIND
23066,GOPAL-EQ,GOPAL
236,ASIANPAINT-EQ,ASIANPAINT
14793,MEGASOFT-EQ,MEGASOFT
422,BHARATFORG-EQ,BHARATFORG
5426,NUVOCO-EQ,NUVOCO
29430,ANKITMETAL-EQ,ANKITMETAL
12489,SWSOLAR-EQ,SWSOLAR
3766,WHEELS-EQ,WHEELS
17514,SETCO-EQ,SETCO
3530,AXISBPSETF-EQ,AXISBPSETF
4157,KEYFINSERV-EQ,KEYFINSERV
17364,VINATIORGA-EQ,VINATIORGA
404,BERGEPAINT-EQ,BERGEPAINT
11840,NH-EQ,NH
4656,SBCL-EQ,SBCL
8968,HARIOMPIPE-EQ,HARIOMPIPE
3727,ANMOL-EQ,ANMOL
16657,ANIKINDS-EQ,ANIKINDS
12978,NPBET-EQ,NPBET
21614,ABCAPITAL-EQ,ABCAPITAL
22592,HEALTHADD-EQ,HEALTHADD
7929,ZYDUSLIFE-EQ,ZYDUSLIFE
13430,KELLTONTEC-EQ,KELLTONTEC
19218,VALIANTLAB-EQ,VALIANTLAB
4344,PUNJABCHEM-EQ,PUNJABCHEM
17770,GROBTEA-EQ,GROBTEA
14858,KOTAKGOLD-EQ,KOTAKGOLD
7353,SETFNN50-EQ,SETFNN50
17603,MAHEPC-EQ,MAHEPC
19556,BHANDARI-EQ,BHANDARI
14547,NDLVENTURE-EQ,NDLVENTURE
13821,RUCHIRA-EQ,RUCHIRA
28899,KITEX-EQ,KITEX
15199,MANAKSIA-EQ,MANAKSIA
14329,SMSPHARMA-EQ,SMSPHARMA
2294,MTNL-EQ,MTNL
7218,SBIETFQLTY-EQ,SBIETFQLTY
781,DALMIASUG-EQ,DALMIASUG
11432,KRITINUT-EQ,KRITINUT
7508,ZENTEC-EQ,ZENTEC
2969,SAKHTISUG-EQ,SAKHTISUG
7919,BYKE-EQ,BYKE
18279,HDFCLIQUID-EQ,HDFCLIQUID
1100,GARFIBRES-EQ,GARFIBRES
14838,DECCANCE-EQ,DECCANCE
17572,LIQUID-EQ,LIQUID
3129,SHREYAS-EQ,SHREYAS
15219,PATINTLOG-EQ,PATINTLOG
21676,HINDMOTORS-EQ,HINDMOTORS
9847,NV20BEES-EQ,NV20BEES
16045,PRINCEPIPE-EQ,PRINCEPIPE
17270,ASPINWALL-EQ,ASPINWALL
15214,DVL-EQ,DVL
4566,RUCHINFRA-EQ,RUCHINFRA
445,5PAISA-EQ,5PAISA
11677,INDOCO-EQ,INDOCO
22,ACC-EQ,ACC
1455,HIL-EQ,HIL
5911,PARAS-EQ,PARAS
2970,SURYODAY-EQ,SURYODAY
23184,MOREALTY-EQ,MOREALTY
11491,APARINDS-EQ,APARINDS
14767,081NSETEST-EQ,081NSETEST
20698,SCHAND-EQ,SCHAND
5748,CYIENT-EQ,CYIENT
8075,DALBHARAT-EQ,DALBHARAT
206,ASHIMASYN-EQ,ASHIMASYN
10350,CSLFINANCE-EQ,CSLFINANCE
11275,TVTODAY-EQ,TVTODAY
11364,VAIBHAVGBL-EQ,VAIBHAVGBL
24231,OMINFRAL-EQ,OMINFRAL
1267,GUJALKALI-EQ,GUJALKALI
19,STYRENIX-EQ,STYRENIX
1196,KANSAINER-EQ,KANSAINER
21238,AUBANK-EQ,AUBANK
740,SBIETFIT-EQ,SBIETFIT
11297,SIL-EQ,SIL
1030,AARON-EQ,AARON
14339,GANESHHOUC-EQ,GANESHHOUC
17307,AJMERA-EQ,AJMERA
578,LIKHITHA-EQ,LIKHITHA
22824,JUNIPER-EQ,JUNIPER
1624,IOC-EQ,IOC
31475,ORBTEXP-EQ,ORBTEXP
8163,SPENCERS-EQ,SPENCERS
22595,HDFCPSUBK-EQ,HDFCPSUBK
24292,VSTTILLERS-EQ,VSTTILLERS
14423,LAOPALA-EQ,LAOPALA
19289,MOM50-EQ,MOM50
13192,ENIL-EQ,ENIL
305,BAJAJHLDNG-EQ,BAJAJHLDNG
13182,ROHLTD-EQ,ROHLTD
425,KHADIM-EQ,KHADIM
20874,RBZJEWEL-EQ,RBZJEWEL
15229,LICNFNHGP-EQ,LICNFNHGP
3001,BSE500IETF-EQ,BSE500IETF
16751,RANEENGINE-EQ,RANEENGINE
18371,NDGL-EQ,NDGL
18866,MAZDA-EQ,MAZDA
9874,GOLDTECH-EQ,GOLDTECH
18783,IDFNIFTYET-EQ,IDFNIFTYET
9617,SPLPETRO-EQ,SPLPETRO
2313,MURUDCERA-EQ,MURUDCERA
2277,MRF-EQ,MRF
14385,POCL-EQ,POCL
10074,EMAMIPAP-EQ,EMAMIPAP
4717,GAIL-EQ,GAIL
13510,AKASH-EQ,AKASH
20374,COALINDIA-EQ,COALINDIA
4010,PVP-EQ,PVP
10285,AYMSYNTEX-EQ,AYMSYNTEX
1614,FAIRCHEMOR-EQ,FAIRCHEMOR
181,ARENTERP-EQ,ARENTERP
11483,LT-EQ,LT
23175,KRYSTAL-EQ,KRYSTAL
14413,PAGEIND-EQ,PAGEIND
17635,ZYDUSWELL-EQ,ZYDUSWELL
1232,GRASIM-EQ,GRASIM
21986,BANKBETF-EQ,BANKBETF
11423,DATAMATICS-EQ,DATAMATICS
18124,DBREALTY-EQ,DBREALTY
1127,GHCL-EQ,GHCL
913,EQUITASBNK-EQ,EQUITASBNK
2598,AMJLAND-EQ,AMJLAND
14501,BALAMINES-EQ,BALAMINES
14479,DIVGIITTS-EQ,DIVGIITTS
4973,PHARMABEES-EQ,PHARMABEES
30023,ATULAUTO-EQ,ATULAUTO
19878,ESAFSFB-EQ,ESAFSFB
11580,WESTLIFE-EQ,WESTLIFE
7339,ABSLNN50ET-EQ,ABSLNN50ET
163,APOLLOTYRE-EQ,APOLLOTYRE
4306,SHRIRAMFIN-EQ,SHRIRAMFIN
27161,CINELINE-EQ,CINELINE
8866,CHOICEIN-EQ,CHOICEIN
11319,LICNETFN50-EQ,LICNETFN50
7848,BIL-EQ,BIL
919,EIHOTEL-EQ,EIHOTEL
17598,ASALCBR-EQ,ASALCBR
1363,HINDALCO-EQ,HINDALCO
16795,ARCHIDPLY-EQ,ARCHIDPLY
19234,LAURUSLABS-EQ,LAURUSLABS
18060,CONCORDBIO-EQ,CONCORDBIO
31468,LYPSAGEMS-EQ,LYPSAGEMS
10578,MPSLTD-EQ,MPSLTD
13658,GEECEE-EQ,GEECEE
11496,AMBICAAGAR-EQ,AMBICAAGAR
22377,MAXHEALTH-EQ,MAXHEALTH
13950,LIQUID1-EQ,LIQUID1
10604,BHARTIARTL-EQ,BHARTIARTL
2056,HOMEFIRST-EQ,HOMEFIRST
1879,CARYSIL-EQ,CARYSIL
15068,RELIGARE-EQ,RELIGARE
9348,IOB-EQ,IOB
15254,CEATLTD-EQ,CEATLTD
16821,VINYLINDIA-EQ,VINYLINDIA
3475,THERMAX-EQ,THERMAX
11045,SATIA-EQ,SATIA
18341,VPRPL-EQ,VPRPL
19597,IRMENERGY-EQ,IRMENERGY
13501,ALLCARGO-EQ,ALLCARGO
17438,OIL-EQ,OIL
7105,TEGA-EQ,TEGA
10099,GODREJCP-EQ,GODREJCP
