Timestamp,Open,High,Low,Close,Volume
2022-07-26 00:00:00+05:30,175.0,176.45,173.61,175.63,3793765.0
2022-07-27 00:00:00+05:30,175.8,176.94,173.21,173.98,2313695.0
2022-07-28 00:00:00+05:30,175.0,176.8,171.8,175.25,2824675.0
2022-07-29 00:00:00+05:30,176.2,178.5,175.01,176.54,5413295.0
2022-08-01 00:00:00+05:30,178.36,189.2,178.0,185.22,19063265.0
2022-08-02 00:00:00+05:30,192.0,192.0,182.4,183.12,13246845.0
2022-08-03 00:00:00+05:30,183.0,189.8,180.87,188.52,12361315.0
2022-08-04 00:00:00+05:30,189.8,205.56,189.16,200.75,18062140.0
2022-08-05 00:00:00+05:30,203.74,209.56,199.0,205.05,14601140.0
2022-08-08 00:00:00+05:30,204.8,204.8,198.44,202.33,10140880.0
2022-08-10 00:00:00+05:30,203.99,204.37,199.0,200.6,10447950.0
2022-08-11 00:00:00+05:30,202.96,203.93,199.43,200.53,6687195.0
2022-08-12 00:00:00+05:30,201.0,206.85,200.53,205.1,5039265.0
2022-08-16 00:00:00+05:30,206.0,216.83,203.5,207.85,9175000.0
2022-08-17 00:00:00+05:30,209.0,209.0,205.22,207.3,6531565.0
2022-08-18 00:00:00+05:30,207.3,210.43,206.43,208.18,5540745.0
2022-08-19 00:00:00+05:30,209.2,209.2,197.11,197.63,8394755.0
2022-08-22 00:00:00+05:30,199.4,199.4,181.58,183.95,11530785.0
2022-08-23 00:00:00+05:30,183.95,194.04,183.41,192.71,10954420.0
2022-08-24 00:00:00+05:30,194.0,209.0,192.71,206.18,19636310.0
2022-08-25 00:00:00+05:30,207.58,208.18,198.93,205.66,12626010.0
2022-08-26 00:00:00+05:30,206.11,207.0,201.91,204.68,3830750.0
2022-08-29 00:00:00+05:30,194.8,201.6,192.0,200.44,4922965.0
2022-08-30 00:00:00+05:30,202.79,208.6,202.01,206.83,7253790.0
2022-09-01 00:00:00+05:30,205.0,210.2,201.5,208.44,9565960.0
2022-09-02 00:00:00+05:30,208.2,209.4,205.12,206.32,3808260.0
2022-09-05 00:00:00+05:30,209.2,209.2,204.13,206.68,5981505.0
2022-09-06 00:00:00+05:30,208.06,220.56,206.84,218.75,11367755.0
2022-09-07 00:00:00+05:30,218.75,219.95,215.2,216.58,6281515.0
2022-09-08 00:00:00+05:30,219.4,222.0,217.2,219.65,7010400.0
2022-09-09 00:00:00+05:30,220.94,221.58,215.02,216.04,4322985.0
2022-09-12 00:00:00+05:30,217.7,218.27,212.0,213.42,6371895.0
2022-09-13 00:00:00+05:30,215.0,219.29,214.05,215.14,6156580.0
2022-09-14 00:00:00+05:30,213.64,216.13,213.2,214.44,6828470.0
2022-09-15 00:00:00+05:30,214.0,221.86,214.0,218.87,7423525.0
2022-09-16 00:00:00+05:30,219.8,222.0,214.72,220.47,6974145.0
2022-09-19 00:00:00+05:30,216.0,223.66,213.67,216.22,4143405.0
2022-09-20 00:00:00+05:30,218.8,225.2,218.33,224.53,5540840.0
2022-09-21 00:00:00+05:30,224.53,227.6,219.01,224.88,4853110.0
2022-09-22 00:00:00+05:30,224.76,238.94,223.0,234.1,10383715.0
2022-09-23 00:00:00+05:30,235.0,235.0,229.5,231.79,7100125.0
2022-09-26 00:00:00+05:30,229.08,229.08,213.67,217.38,12160015.0
2022-09-27 00:00:00+05:30,216.6,216.6,204.61,207.71,12142570.0
2022-09-28 00:00:00+05:30,207.71,209.91,205.33,205.94,6125495.0
2022-09-29 00:00:00+05:30,210.0,211.59,205.45,206.63,7380160.0
2022-09-30 00:00:00+05:30,206.8,209.74,203.0,208.84,6777880.0
2022-10-03 00:00:00+05:30,209.0,216.18,208.52,214.04,7485490.0
2022-10-04 00:00:00+05:30,219.0,231.0,215.12,228.61,10018345.0
2022-10-06 00:00:00+05:30,227.8,229.8,221.11,228.54,8258370.0
2022-10-07 00:00:00+05:30,228.54,228.54,224.01,227.05,6152840.0
2022-10-10 00:00:00+05:30,221.65,224.98,217.01,217.92,6651005.0
2022-10-11 00:00:00+05:30,219.7,219.7,208.0,209.06,7363750.0
2022-10-12 00:00:00+05:30,212.08,216.96,205.11,213.67,12147050.0
2022-10-13 00:00:00+05:30,217.67,219.79,211.6,213.56,8227580.0
2022-10-14 00:00:00+05:30,215.4,215.4,204.0,205.3,8041445.0
2022-10-17 00:00:00+05:30,202.0,202.9,197.12,198.19,12143585.0
2022-10-18 00:00:00+05:30,200.0,201.39,193.02,199.86,12065360.0
2022-10-19 00:00:00+05:30,201.4,204.94,198.13,203.23,12112600.0
2022-10-20 00:00:00+05:30,202.84,205.0,199.0,203.91,8580415.0
2022-10-21 00:00:00+05:30,203.91,207.2,201.2,202.62,8405890.0
2022-10-24 00:00:00+05:30,205.4,207.04,203.99,205.95,802285.0
2022-10-25 00:00:00+05:30,206.6,210.58,205.17,206.54,13205835.0
2022-10-27 00:00:00+05:30,208.0,213.54,205.53,210.46,14315445.0
2022-10-28 00:00:00+05:30,211.52,212.94,207.8,208.01,6070505.0
2022-10-31 00:00:00+05:30,209.37,211.0,206.42,209.81,6765570.0
2022-11-01 00:00:00+05:30,212.0,222.8,210.48,221.4,25220955.0
2022-11-02 00:00:00+05:30,222.0,233.0,222.0,225.5,17863795.0
2022-11-03 00:00:00+05:30,226.0,246.6,225.67,237.8,30388560.0
2022-11-04 00:00:00+05:30,238.96,244.0,226.4,227.78,14999645.0
2022-11-07 00:00:00+05:30,230.58,234.44,222.44,228.32,10187815.0
2022-11-09 00:00:00+05:30,233.8,235.9,225.4,229.61,12496880.0
2022-11-10 00:00:00+05:30,230.46,230.46,225.08,227.81,6096780.0
2022-11-11 00:00:00+05:30,229.2,232.59,219.03,221.28,9888645.0
2022-11-14 00:00:00+05:30,222.2,227.0,215.11,216.86,9982710.0
2022-11-15 00:00:00+05:30,217.94,223.0,216.89,218.52,8554785.0
2022-11-16 00:00:00+05:30,220.6,229.6,220.6,226.32,12292960.0
2022-11-17 00:00:00+05:30,228.53,230.16,224.6,229.59,8718475.0
2022-11-18 00:00:00+05:30,230.16,230.6,227.0,228.78,5886150.0
2022-11-21 00:00:00+05:30,228.78,231.1,219.33,220.66,8510920.0
2022-11-22 00:00:00+05:30,221.9,232.0,221.76,231.04,10013025.0
2022-11-23 00:00:00+05:30,232.4,235.0,227.6,232.9,8722820.0
2022-11-24 00:00:00+05:30,233.03,236.0,228.8,235.14,6595890.0
2022-11-25 00:00:00+05:30,233.0,237.0,228.95,230.39,5564335.0
2022-11-28 00:00:00+05:30,230.39,237.2,228.4,236.66,11396870.0
2022-11-29 00:00:00+05:30,235.72,235.72,226.2,229.23,9661540.0
2022-11-30 00:00:00+05:30,230.2,264.8,230.2,249.95,175538615.0
2022-12-01 00:00:00+05:30,255.0,256.93,248.21,252.84,22526180.0
2022-12-02 00:00:00+05:30,252.8,270.8,251.12,263.72,28244415.0
2022-12-05 00:00:00+05:30,263.4,275.53,258.47,270.56,9873510.0
2022-12-06 00:00:00+05:30,270.4,272.55,260.0,261.92,16004825.0
2022-12-07 00:00:00+05:30,263.93,271.32,259.61,261.78,13389655.0
2022-12-08 00:00:00+05:30,262.6,276.0,262.13,273.35,10733150.0
2022-12-09 00:00:00+05:30,273.0,285.92,269.01,282.05,13914230.0
2022-12-12 00:00:00+05:30,283.0,286.49,273.46,275.25,10344540.0
2022-12-13 00:00:00+05:30,276.0,277.49,272.4,274.65,6597275.0
2022-12-14 00:00:00+05:30,276.0,284.0,275.63,277.77,7792780.0
2022-12-15 00:00:00+05:30,277.0,279.88,273.01,276.63,6534520.0
2022-12-16 00:00:00+05:30,276.63,283.6,268.0,279.33,8301915.0
2022-12-19 00:00:00+05:30,284.2,284.2,277.0,282.78,5216465.0
2022-12-20 00:00:00+05:30,280.5,282.29,275.4,278.26,6758170.0
2022-12-21 00:00:00+05:30,281.4,284.49,271.0,274.23,5380270.0
2022-12-22 00:00:00+05:30,274.0,279.8,261.18,276.11,10006060.0
2022-12-23 00:00:00+05:30,273.0,273.0,252.61,257.52,6547985.0
2022-12-26 00:00:00+05:30,258.01,273.94,252.04,270.54,5318965.0
2022-12-27 00:00:00+05:30,271.6,274.88,262.2,263.78,4027200.0
2022-12-28 00:00:00+05:30,265.15,268.89,261.78,264.69,4201290.0
2022-12-29 00:00:00+05:30,263.0,273.8,258.28,271.44,5263845.0
2022-12-30 00:00:00+05:30,272.8,276.03,263.02,264.51,4753970.0
2023-01-02 00:00:00+05:30,267.89,271.5,263.6,266.62,4200580.0
2023-01-03 00:00:00+05:30,266.62,267.94,260.22,261.34,3912800.0
2023-01-04 00:00:00+05:30,262.7,265.7,260.0,261.71,3949595.0
2023-01-05 00:00:00+05:30,262.79,266.18,254.2,261.77,8763650.0
2023-01-06 00:00:00+05:30,262.99,263.92,255.45,260.18,7092170.0
2023-01-09 00:00:00+05:30,262.35,264.91,259.41,261.75,5160370.0
2023-01-10 00:00:00+05:30,262.32,262.6,255.8,257.46,4412000.0
2023-01-11 00:00:00+05:30,258.8,258.84,243.02,245.01,11335780.0
2023-01-12 00:00:00+05:30,245.99,245.99,234.2,237.42,12033835.0
2023-01-13 00:00:00+05:30,239.09,239.09,224.53,227.15,18190180.0
2023-01-16 00:00:00+05:30,229.07,242.44,228.73,241.47,15052660.0
2023-01-17 00:00:00+05:30,242.0,244.8,237.98,242.06,9965025.0
2023-01-18 00:00:00+05:30,243.2,244.94,241.4,243.46,4095725.0
2023-01-19 00:00:00+05:30,242.78,246.58,242.4,244.91,8152460.0
2023-01-20 00:00:00+05:30,245.43,247.58,244.4,246.53,5861055.0
2023-01-23 00:00:00+05:30,247.6,248.39,244.6,247.37,2659655.0
2023-01-24 00:00:00+05:30,246.42,250.2,246.42,249.71,2989925.0
2023-01-25 00:00:00+05:30,248.92,250.0,246.2,247.93,2143660.0
2023-01-27 00:00:00+05:30,248.59,250.26,242.01,248.51,4515770.0
2023-01-30 00:00:00+05:30,249.0,249.0,235.0,238.91,7009985.0
2023-01-31 00:00:00+05:30,241.3,241.3,228.0,229.25,10346445.0
2023-02-01 00:00:00+05:30,231.89,236.8,226.3,234.57,10039900.0
2023-02-02 00:00:00+05:30,233.97,235.39,224.86,230.79,8678000.0
2023-02-03 00:00:00+05:30,230.78,234.8,220.0,230.98,12183995.0
2023-02-06 00:00:00+05:30,230.69,247.76,228.0,244.37,16333340.0
2023-02-07 00:00:00+05:30,247.02,262.97,247.02,260.82,19434110.0
2023-02-08 00:00:00+05:30,261.6,270.2,259.51,262.1,10220280.0
2023-02-09 00:00:00+05:30,268.99,268.99,252.05,254.74,6941110.0
2023-02-10 00:00:00+05:30,247.8,257.0,245.0,254.36,5957340.0
2023-02-13 00:00:00+05:30,254.36,261.44,250.8,256.81,5439725.0
2023-02-14 00:00:00+05:30,257.57,259.67,250.4,252.26,4553260.0
2023-02-15 00:00:00+05:30,249.6,257.4,249.6,255.78,3414675.0
2023-02-16 00:00:00+05:30,257.72,258.8,253.0,254.92,3142830.0
2023-02-17 00:00:00+05:30,253.4,258.6,250.5,256.64,2551400.0
2023-02-20 00:00:00+05:30,257.98,266.97,257.41,261.5,9040585.0
2023-02-21 00:00:00+05:30,262.96,269.2,262.8,264.9,8953605.0
2023-02-22 00:00:00+05:30,264.4,266.56,259.6,261.35,4155250.0
2023-02-23 00:00:00+05:30,261.8,262.98,256.02,260.14,7531275.0
2023-02-24 00:00:00+05:30,262.0,264.96,257.15,258.31,6422815.0
2023-02-27 00:00:00+05:30,259.2,260.39,256.45,257.39,5528195.0
2023-02-28 00:00:00+05:30,258.0,266.0,256.2,260.15,10958180.0
2023-03-01 00:00:00+05:30,262.4,270.0,262.2,268.78,10745695.0
2023-03-02 00:00:00+05:30,269.77,270.01,266.61,268.45,3385415.0
2023-03-03 00:00:00+05:30,269.2,272.4,268.64,271.7,6094550.0
2023-03-06 00:00:00+05:30,272.6,275.4,269.58,270.22,5903520.0
2023-03-08 00:00:00+05:30,266.9,271.97,266.2,270.0,5935895.0
2023-03-09 00:00:00+05:30,271.8,275.66,267.03,269.15,6951970.0
2023-03-10 00:00:00+05:30,267.6,270.78,264.04,268.76,3253475.0
2023-03-13 00:00:00+05:30,269.0,270.84,261.0,262.51,3440725.0
2023-03-14 00:00:00+05:30,262.99,269.0,259.02,262.5,5361680.0
2023-03-15 00:00:00+05:30,264.19,275.7,263.3,269.13,8782155.0
2023-03-16 00:00:00+05:30,265.52,266.16,253.37,261.23,15501165.0
2023-03-17 00:00:00+05:30,263.4,265.99,257.9,263.24,9785280.0
2023-03-20 00:00:00+05:30,263.08,263.08,258.3,260.59,2819755.0
2023-03-21 00:00:00+05:30,262.17,270.0,260.59,268.69,4209355.0
2023-03-22 00:00:00+05:30,269.8,273.0,264.14,270.91,4364195.0
2023-03-23 00:00:00+05:30,270.0,273.56,267.55,271.02,4642550.0
2023-03-24 00:00:00+05:30,269.27,278.8,266.02,270.4,10167700.0
2023-03-27 00:00:00+05:30,271.4,275.0,269.43,271.76,3909160.0
2023-03-28 00:00:00+05:30,273.33,274.71,270.0,270.96,3376800.0
2023-03-29 00:00:00+05:30,270.0,277.96,267.0,271.49,16868985.0
2023-03-31 00:00:00+05:30,274.02,278.99,273.07,277.4,6325840.0
2023-04-03 00:00:00+05:30,279.0,284.2,276.43,282.89,7420420.0
2023-04-05 00:00:00+05:30,284.0,294.8,283.75,290.8,16999355.0
2023-04-06 00:00:00+05:30,290.79,291.19,277.0,278.7,11151270.0
2023-04-10 00:00:00+05:30,279.8,283.4,279.29,282.74,4087705.0
2023-04-11 00:00:00+05:30,284.18,289.0,282.46,287.65,5731220.0
2023-04-12 00:00:00+05:30,286.6,290.87,285.6,289.48,5677480.0
2023-04-13 00:00:00+05:30,291.48,292.25,284.8,285.91,4429370.0
2023-04-17 00:00:00+05:30,287.18,291.9,284.53,290.42,11023575.0
2023-04-18 00:00:00+05:30,291.99,291.99,281.08,282.9,11104825.0
2023-04-19 00:00:00+05:30,283.8,289.26,283.22,288.01,13228385.0
2023-04-20 00:00:00+05:30,288.0,288.0,275.0,276.35,7343620.0
2023-04-21 00:00:00+05:30,277.16,280.8,276.76,279.44,9038560.0
2023-04-24 00:00:00+05:30,280.49,290.6,279.61,289.94,10057005.0
2023-04-25 00:00:00+05:30,289.01,292.0,284.22,287.45,10103730.0
2023-04-26 00:00:00+05:30,287.2,290.6,286.81,289.77,7284630.0
2023-04-27 00:00:00+05:30,289.2,293.0,287.48,292.67,5724965.0
2023-04-28 00:00:00+05:30,293.1,293.5,286.35,289.04,8282810.0
2023-05-02 00:00:00+05:30,292.0,295.97,280.0,283.02,19930485.0
2023-05-03 00:00:00+05:30,285.6,291.0,285.0,286.04,9715105.0
2023-05-04 00:00:00+05:30,287.0,289.59,286.34,288.52,6527465.0
2023-05-05 00:00:00+05:30,287.4,291.68,286.82,290.52,6619530.0
2023-05-08 00:00:00+05:30,291.0,292.6,290.3,291.29,1657870.0
2023-05-09 00:00:00+05:30,293.25,305.86,292.02,301.09,11078110.0
2023-05-10 00:00:00+05:30,302.96,324.0,302.93,321.28,16869535.0
2023-05-11 00:00:00+05:30,324.0,330.8,313.61,315.92,8659545.0
2023-05-12 00:00:00+05:30,319.08,319.08,310.0,311.19,4027150.0
2023-05-15 00:00:00+05:30,311.2,319.19,310.2,311.72,3277065.0
2023-05-16 00:00:00+05:30,313.28,322.0,312.41,314.81,3992030.0
2023-05-17 00:00:00+05:30,316.6,324.8,316.0,317.55,10770655.0
2023-05-18 00:00:00+05:30,319.85,322.88,313.6,315.23,4086655.0
2023-05-19 00:00:00+05:30,316.36,321.4,316.0,317.51,3325605.0
2023-05-22 00:00:00+05:30,318.77,320.28,314.8,316.9,1978465.0
2023-05-23 00:00:00+05:30,317.75,318.44,308.2,311.17,3442760.0
2023-05-24 00:00:00+05:30,312.47,325.2,312.47,322.96,5628380.0
2023-05-25 00:00:00+05:30,323.59,326.0,318.88,323.53,3514415.0
2023-05-26 00:00:00+05:30,326.0,349.4,325.0,340.39,13564135.0
2023-05-29 00:00:00+05:30,344.8,344.8,336.02,338.35,5088150.0
2023-05-30 00:00:00+05:30,339.36,339.59,328.0,329.66,5897155.0
2023-05-31 00:00:00+05:30,330.0,340.36,325.2,338.89,10133525.0
2023-06-01 00:00:00+05:30,338.16,344.58,334.0,337.8,4308525.0
2023-06-02 00:00:00+05:30,340.14,342.86,336.74,339.03,3386690.0
2023-06-05 00:00:00+05:30,341.12,342.6,337.68,341.02,3381540.0
2023-06-06 00:00:00+05:30,342.83,348.11,336.4,337.39,7662315.0
2023-06-07 00:00:00+05:30,338.72,338.72,328.2,329.53,16263700.0
2023-06-08 00:00:00+05:30,330.52,331.63,315.0,316.37,10001755.0
2023-06-09 00:00:00+05:30,318.0,325.39,316.02,318.28,6006445.0
2023-06-12 00:00:00+05:30,316.91,321.86,310.01,319.21,5362715.0
2023-06-13 00:00:00+05:30,320.96,327.21,319.6,323.0,7815240.0
2023-06-14 00:00:00+05:30,324.0,331.3,320.4,323.0,8184545.0
2023-06-15 00:00:00+05:30,327.92,344.8,326.74,330.88,7552323.0
2023-06-16 00:00:00+05:30,334.26,335.46,322.4,327.0,13653330.0
2023-06-19 00:00:00+05:30,328.5,328.5,318.4,320.8,5007083.0
2023-06-20 00:00:00+05:30,321.66,328.54,321.58,325.94,6145558.0
2023-06-21 00:00:00+05:30,326.0,329.38,325.0,328.0,6007825.0
2023-06-22 00:00:00+05:30,327.88,327.96,320.34,321.64,3215933.0
2023-06-23 00:00:00+05:30,322.0,322.32,305.6,307.56,9975505.0
2023-06-26 00:00:00+05:30,307.54,320.32,302.22,319.64,6169893.0
2023-06-27 00:00:00+05:30,322.76,324.92,318.5,320.0,5429513.0
2023-06-28 00:00:00+05:30,322.32,322.48,315.6,317.2,4720503.0
2023-06-30 00:00:00+05:30,318.8,322.92,312.62,322.4,6898283.0
2023-07-03 00:00:00+05:30,321.02,329.44,317.42,326.4,4814223.0
2023-07-04 00:00:00+05:30,328.0,328.0,320.9,322.2,11647388.0
2023-07-05 00:00:00+05:30,323.92,331.76,321.72,329.98,6900518.0
2023-07-06 00:00:00+05:30,332.0,333.74,324.44,326.4,5810275.0
2023-07-07 00:00:00+05:30,327.88,331.68,325.14,328.72,3465475.0
2023-07-10 00:00:00+05:30,329.2,330.8,323.3,324.88,2908103.0
2023-07-11 00:00:00+05:30,326.0,330.86,322.84,330.4,3145195.0
2023-07-12 00:00:00+05:30,331.6,339.56,331.6,336.3,5246815.0
2023-07-13 00:00:00+05:30,338.0,338.24,329.36,332.82,4976480.0
2023-07-14 00:00:00+05:30,337.2,338.36,327.44,333.4,7113208.0
2023-07-17 00:00:00+05:30,333.76,334.8,330.0,331.4,2526928.0
2023-07-18 00:00:00+05:30,331.56,333.6,325.8,330.4,2967783.0
2023-07-19 00:00:00+05:30,326.52,332.0,326.52,328.04,2842763.0
2023-07-20 00:00:00+05:30,328.78,329.2,323.6,325.72,1694488.0
2023-07-21 00:00:00+05:30,325.72,329.84,318.22,321.12,4287898.0
2023-07-24 00:00:00+05:30,320.6,327.4,314.44,326.76,2955215.0
2023-07-25 00:00:00+05:30,326.6,326.6,319.6,321.8,3978295.0
2023-07-26 00:00:00+05:30,321.84,325.58,320.02,322.4,2838365.0
2023-07-27 00:00:00+05:30,323.92,325.34,320.0,320.4,2651138.0
2023-07-28 00:00:00+05:30,320.0,322.6,318.64,322.16,2170273.0
2023-07-31 00:00:00+05:30,321.7,322.66,318.36,321.8,3080368.0
2023-08-01 00:00:00+05:30,323.96,325.82,319.7,320.8,4023925.0
2023-08-02 00:00:00+05:30,321.52,323.94,320.28,323.1,3245893.0
2023-08-03 00:00:00+05:30,324.0,332.8,322.5,329.6,9038058.0
2023-08-04 00:00:00+05:30,333.96,335.2,329.04,329.8,8063613.0
2023-08-07 00:00:00+05:30,332.0,333.44,328.0,329.2,3890455.0
2023-08-08 00:00:00+05:30,330.32,332.4,325.64,328.72,3137795.0
2023-08-09 00:00:00+05:30,328.2,332.68,321.2,329.6,6925393.0
2023-08-10 00:00:00+05:30,330.36,331.18,326.1,328.0,3448240.0
2023-08-11 00:00:00+05:30,328.32,342.0,328.32,340.02,8159118.0
2023-08-14 00:00:00+05:30,340.02,348.8,333.78,346.2,5895790.0
2023-08-16 00:00:00+05:30,347.16,361.2,343.48,356.4,7553380.0
